question,answer,grounding_reference
What are the general ICU admission criteria for circulatory compromise?,"ICU admission is indicated for circulatory compromise when MAP is below 65 mmHg, vasopressors or inotropes are required, or lactate is at least 4 mmol/L despite adequate fluid resuscitation.",icu_guidelines.pdf
When should a patient be managed in full ICU rather than step-down or ward?,"Full ICU is appropriate for shock, ARDS, refractory hypoxemia, mechanical ventilation, high-dose vasopressors, high bleeding risk, or delirium that compromises care.",icu_guidelines.pdf
Why is septic shock from pneumonia with early ARDS a definite ICU case?,"It is a definite ICU case because the patient has septic shock, ARDS, multiorgan failure, vasopressor requirement, and mechanical ventilation, requiring high-intensity minute-to-minute management.",icu_guidelines.pdf
What are the key immediate management priorities for septic shock with early ARDS?,"Priorities include broad-spectrum IV antibiotics with reassessment and de-escalation, controlled fluid resuscitation guided by dynamic indices, norepinephrine as first-line vasopressor with vasopressin as needed, MAP target of at least 65 mmHg, repeat lactate every 2–4 hours, and ARDS ventilation with low tidal volume, plateau pressure below 30 cmH2O, PEEP adjustment, and conservative fluids after shock control.",icu_guidelines.pdf
Is severe sepsis from urinary tract infection without shock always a full ICU case?,"No. If there is no vasopressor requirement, MAP is maintained, and there is no severe hypoxemia, the patient is suitable for HDU or step-down rather than high-intensity ICU, unless MAP or lactate worsens, mental status worsens, or oliguria/rising creatinine develops.",icu_guidelines.pdf
Why should anaphylactic shock after IV antibiotic be admitted to ICU in the acute phase?,"Anaphylactic shock should always be managed in ICU in the acute phase because of the risk of airway collapse, recurrence of shock, and biphasic reactions, with need for advanced airway management, titrated epinephrine infusion, and hemodynamic monitoring.",icu_guidelines.pdf
What are the ICU discharge or step-down criteria?,"Step-down can be considered when MAP is consistently at least 65 mmHg without vasopressors for at least 24 hours, there is no need for rapid fluid boluses, heart rhythm is stable, respiratory status is stable without invasive ventilation or on low-level oxygen with adequate saturation, organ function is improving or stable, neurologic status is manageable without continuous sedatives or restraints, no ICU-level high-risk infusions or procedures are needed, and there is a clear ongoing care plan.",icu_guidelines.pdf
When may ICU admission not be necessary?,"ICU admission may not be necessary for patients who are hemodynamically stable with MAP at least 65 mmHg without vasopressors and without severe hypoxemia or respiratory distress; sepsis without shock with mild organ dysfunction that can be monitored in HDU or step-down; non-massive lower GI bleed with stable hemoglobin, normal lactate, and no ongoing hemodynamic compromise; or metabolic abnormalities manageable without continuous infusions or invasive support.",icu_guidelines.pdf
What hand hygiene practices are recommended in the ICU?,"Hand hygiene should be performed before touching a patient, before aseptic procedures, after exposure to bodily fluids, after touching a patient, and after touching patient surroundings. Alcohol-based hand rub is recommended for most indications, while soap and water should be used when hands are visibly soiled or when caring for certain pathogens such as C. difficile.",icu_guidelines.pdf
"What device-associated infection prevention measures are recommended for central lines, urinary catheters, and ventilated patients?","For central lines, use full barrier precautions during insertion, chlorhexidine skin preparation, strict maintenance bundles, and remove lines when no longer essential. For urinary catheters, insert only when necessary, use aseptic technique, avoid routine irrigation, and reassess daily for removal. For endotracheal tubes and ventilators, elevate the head of bed 30–45 degrees, provide oral care, use sedation and weaning protocols, and minimize ventilation duration.",icu_guidelines.pdf
